year,state,state_po,district_id,candidate,party,candidatevotes,totalvotes,vote_pct,avg_poll_pct,n_polls,poll_candidate_matched,match_score,source
1998,Arkansas,AR,AR-04,Judy Smith,DEMOCRAT,68194,160540,42.4779,,,,,MEDSL
1998,Arizona,AZ,AZ-01,Matt Salmon,REPUBLICAN,98840,152948,64.6233,,,,,MEDSL
1998,Arizona,AZ,AZ-01,David Mendoza,DEMOCRAT,54108,152948,35.3767,,,,,MEDSL
1998,Arizona,AZ,AZ-02,Ed Pastor,DEMOCRAT,57178,84363,67.7762,,,,,MEDSL
1998,Arizona,AZ,AZ-02,Ed Barron,REPUBLICAN,23628,84363,28.0075,,,,,MEDSL
1998,Arizona,AZ,AZ-02,Rick Duncan,LIBERTARIAN,2646,84363,3.1364,,,,,MEDSL
1998,Arizona,AZ,AZ-02,Gregoy Schultz,REFORM,911,84363,1.0799,,,,,MEDSL
1998,Arizona,AZ,AZ-03,Bob Stump,REPUBLICAN,137618,204623,67.2544,,,,,MEDSL
1998,Arizona,AZ,AZ-03,Stuart Marc Starky,DEMOCRAT,66979,204623,32.7329,,,,,MEDSL
1998,Arizona,AZ,AZ-04,John B Shadegg,REPUBLICAN,102722,158822,64.6774,,,,,MEDSL
1998,Arizona,AZ,AZ-04,Eric Ehst,DEMOCRAT,49538,158822,31.1909,,,,,MEDSL
1998,Arizona,AZ,AZ-04,Ernest Hancock,LIBERTARIAN,3805,158822,2.3958,,,,,MEDSL
1998,Arizona,AZ,AZ-04,Doug Quelland,INDEPENDENT,2757,158822,1.7359,,,,,MEDSL
1998,Arizona,AZ,AZ-05,Jim Kolbe,REPUBLICAN,103952,201473,51.596,,,,,MEDSL
1998,Arizona,AZ,AZ-05,Tom Volgy,DEMOCRAT,91030,201473,45.1822,,,,,MEDSL
1998,Arizona,AZ,AZ-05,Phil Murphy,LIBERTARIAN,4946,201473,2.4549,,,,,MEDSL
1998,Arizona,AZ,AZ-05,"Robert ""Bob"" Connery Sr",REFORM,1545,201473,0.7669,,,,,MEDSL
1998,Arizona,AZ,AZ-06,J D Hayworth,REPUBLICAN,106891,201537,53.0379,,,,,MEDSL
1998,Arizona,AZ,AZ-06,Steve Owens,DEMOCRAT,88001,201537,43.6649,,,,,MEDSL
1998,Arizona,AZ,AZ-06,Robert Anderson,LIBERTARIAN,6645,201537,3.2972,,,,,MEDSL
1998,California,CA,CA-01,Mike Thompson,DEMOCRAT,121713,196805,61.8445,,,,,MEDSL
1998,California,CA,CA-01,Mark C Luce,REPUBLICAN,64692,196805,32.8711,,,,,MEDSL
1998,California,CA,CA-01,Emil P Rossi,LIBERTARIAN,5404,196805,2.7459,,,,,MEDSL
1998,California,CA,CA-01,Ernest K Jones Jr,PEACE AND FREEDOM,4996,196805,2.5386,,,,,MEDSL
1998,California,CA,CA-02,Wally Herger,REPUBLICAN,128372,205347,62.5147,,,,,MEDSL
1998,California,CA,CA-02,"Roberts ""Rob"" Braden",DEMOCRAT,70837,205347,34.4962,,,,,MEDSL
1998,California,CA,CA-02,Patrice Thiessen,NATURAL LAW,6138,205347,2.9891,,,,,MEDSL
1998,California,CA,CA-03,Doug Ose,REPUBLICAN,100621,192006,52.4051,,,,,MEDSL
1998,California,CA,CA-03,Sandie Dunn,DEMOCRAT,86471,192006,45.0356,,,,,MEDSL
